,Unnamed: 0,URL,Price,Marka,Model,İşletim Sistemi,Ön Kamera Çözünürlüğü,Arka Kamera Çözünürlüğü,Bellek Kapasitesi,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Garanti Türü,Hızlı Şarj Özelliği,Çift Hatlı,Toza Dayanıklılık,En,NFC,GPS,Hafıza Kartı Desteği,Yonga Seti (Chipset),4.5G Desteği,İşlemci,Bluetooth Sürüm,Arka Kamera Video Kayıt Çözünürlüğü,CPU Frekansı,Ekran / Gövde Oranı,Optik Görüntü Sabitleyici,Çözünürlük Standardı,USB Bağlantı Tipi,USB Versiyonu,Boy,İkinci Arka Kamera Çözünürlüğü,Kalınlık,Suya Dayanıklılık,Parmak izi Okuyucu,Üçüncü Arka Kamera Çözünürlüğü,Ağırlık,Arka Kamera Video FPS Değeri,Dördüncü Arka Kamera Çözünürlüğü,CPU Çekirdeği,Ekran Tipi,5G Desteği,Yüz Tanıma,Toza Dayanıklılık Seviyesi,Suya Dayanıklılık Seviyesi,1.Yardımcı İşlemci,İkinci Ön Kamera Çözünürlüğü,Kamera Zoom,2.Yardımcı İşlemci,Beşinci Arka Kamera Çözünürlüğü,Dahili_Hafiza
0,0,https://www.n11.com/urun/samsung-galaxy-m51-dual-sim-128-gb-samsung-turkiye-garantili-1528412?magaza=samsungturkiye," 4.999,00 ", Samsung, M51, Android, 32 MP, 64 MP, 8 GB, 7000 mAh," 6.7""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 76.3 MM, Var, Var, Var, Qualcomm Snapdragon 730G (SM7150-AB), Var, Dual-core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 86.42, Yok, FHD+, USB Type-C, 2.0, 163.9 MM, 12 MP, 9.5 MM, Yok, Var, 5 MP, 213 G, 30 fps, 5 MP,8.0, Super Amoled, Yok,,,,,,,,,128.0
1,1,https://www.n11.com/urun/samsung-galaxy-m31-128-gb-samsung-turkiye-garantili-1293075?magaza=samsungturkiye," 3.239,00 ", Samsung, Galaxy M31, Android, 32 MP, 64 MP, 6 GB, 6000 mAh," 6.4""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 75.1 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 83.35, Yok, FHD+, USB Type-C, 2.0, 159.2 MM, 8 MP, 8.9 MM, Yok, Var, 5 MP, 191 G, 30 fps, 5 MP,8.0, Super AMOLED, Yok,,,,,,,,,128.0
2,2,https://www.n11.com/urun/samsung-galaxy-m21-duos-64-gb-samsung-turkiye-garantili-1481543?magaza=samsungturkiye," 2.609,90 ", Samsung, Galaxy M21 Duos, Android, 20 MP, 48 MP, 4 GB, 6000 mAh," 6.4""", 3840 x 2160, Distribütör Garantili, Var, Var,, 75.1 MM, Var, Var, Var, Samsung Exynos 7 Series 9611, Var, Quad-Core 2.3 GHz ARM Cortex-A73,5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 83.7,, FHD+, USB Type-C, 2.0, 159 MM, 8 MP, 8.9 MM,, Var, 5 MP, 188 G, 30 fps,,8.0, Super AMOLED,, Var,,,,,,,,64.0
3,3,https://www.n11.com/urun/xiaomi-poco-x3-nfc-128-gb-xiaomi-turkiye-garantili-1573885?magaza=mieko," 3.790,00 ", Xiaomi, X3 NFC, Android, 20 MP, 64 MP, 6 GB, 5160 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var, Var, 76.8 MM, Var, Var, Var, Qualcomm Snapdragon 732G (SM7150-AC), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 470),5.1, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.41,, Full HD+, USB Type-C, 2.0, 165.3 MM, 13 MP, 9.4 MM, Var, Var, 2 MP, 215 G, 30 fps, 2 MP,8.0, IPS LCD,, Var, IP5X, IPX3, Hexa-core 1.8 GHz ARM Cortex-A55,,,,,128.0
4,4,https://www.n11.com/urun/xiaomi-redmi-note-9-pro-128-gb-6-gb-ram-xiaomi-turkiye-garantili-1377366?magaza=mieko," 3.715,00 ", Xiaomi, Redmi Note 9 Pro, Android, 16 MP, 64 MP, 6 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM, Var, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,128.0
5,5,https://www.n11.com/urun/samsung-galaxy-m11-duos-32-gb-samsung-turkiye-garantili-1348930?magaza=samsungturkiye," 2.340,00 ", Samsung, Galaxy M11, Android, 8 MP, 13 MP, 3 GB, 5000 mAh," 6.4""", 720 x 1560, Distribütör Garantili, Var, Var,, 76.3 MM, Yok, Var, Var,,, Octa-Core 1.8 GHz,, 1080p (Full HD),,,, HD,,, 161.4 MM, 2 MP, 9 MM,,, 5 MP, 197 G, 30 fps,,, TFT,,,,,,,,,,32.0
6,6,https://www.n11.com/urun/xiaomi-redmi-note-9-pro-64-gb-xiaomi-turkiye-garantili-1377379?magaza=teknolojiankara," 3.404,00 ", Xiaomi, Redmi Note 9 Pro, Android, 16 MP, 64 MP, 6 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM, Var, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
7,7,https://www.n11.com/urun/apple-iphone-se-2020-64-gb-apple-turkiye-garantili-1381478?magaza=bittibitiyor," 4.983,90 ", Apple, iPhone SE 2020, iOS, 7 MP, 12 MP, 3 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var,, Var, 67.3 MM, Var, Var,, Apple A13 Bionic, Var,,5.0, 2160p (Ultra HD) 4K, 2.6 GHz, % 65.36, Var,, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD,,, IP6X, IPX7,,,,,,64.0
8,8,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-1387209?magaza=bittibitiyor," 2.949,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,128.0
9,9,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-ithalatci-garantili-1482137?magaza=demir-bilisim1," 2.729,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, İthalatçı Garantili, Var, Var,, 77.2 MM, Yok, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080 P, 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 Fps, 2 MP,8.0, Ips Lcd, Var, Var,,,,,,,,128.0
10,10,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-ithalatci-garantili-1482137?magaza=idealcep," 2.750,00 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, İthalatçı Garantili, Var, Var,, 77.2 MM, Yok, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080 P, 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 Fps, 2 MP,8.0, Ips Lcd, Var, Var,,,,,,,,128.0
11,11,https://www.n11.com/urun/samsung-galaxy-s10-plus-128-gb-samsung-turkiye-garantili-874518?magaza=samsungturkiye," 7.099,00 ", Samsung, Galaxy S10 Plus, Android, 16 MP, 12 MP, 8 GB, 4100 mAh," 6.4""", 1440 x 3040, Distribütör Garantili, Var, Yok, Var, 74.1 MM, Var, Var, Var, Samsung Exynos 9 Series 9820, Var, Dual-Core 2.73 GHz Mongoose M4,5.0, 2160p (Ultra HD) 4K, 2.73 GHz, % 87.54, Var, QHD+, USB Type-C, 3.1 Gen 1 (USB 3.0), 157.6 MM, 16 MP, 7.8 MM, Var, Var, 12 MP, 175 G, 60 fps,,8.0, Dynamic AMOLED, Yok,, IP6X, IPX8,, 8 MP,,,,128.0
12,12,https://www.n11.com/urun/general-mobile-gm-20-pro-128-gb-general-mobile-turkiye-garantili-1507045?magaza=ceptelefonu-online," 2.350,00 ", General Mobile, GM 20 Pro, Android, 16 MP, 48 MP, 6 GB, 4050 mAh," 6.3""", 1080 x 2340, Distribütör Garantili, Var,,, 75 MM,, Var, Var, MediaTek MT6771V/T (Helio P70), Var, Quad-core 2.1 GHz ARM Cortex-A73,4.2,, 2.1 GHz, % 81.97,, Full HD+, USB Type-C, 2.0, 157.5 MM, 8 MP, 8.65 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,, Var,,, Quad-core 2.0 GHz ARM Cortex-A53,,,,,128.0
13,13,https://www.n11.com/urun/apple-iphone-8-plus-128-gb-apple-turkiye-garantili-1098051?magaza=bittibitiyor," 6.239,00 ", Apple, iPhone 8 Plus, iOS, 7 MP, 12 MP, 3 GB, 2691 mAh," 5.5""", 1080 x 1920, Distribütör Garantili, Var, Yok, Var, 78.1 MM, Var, Var, Yok, Apple A11 Bionic, Var, Dual-core 2.1 GHz Monsoon,5.0, 2160p (Ultra HD) 4K, 2.1 GHz, % 67.41, Var, FHD, Lightning,, 158.4 MM, 12 MP, 7.5 MM, Var, Var,, 202 G, 60 fps,,6.0, IPS LCD, Yok, Yok, IP6X, IPX7,,, 2x Optik,,,128.0
14,14,https://www.n11.com/urun/apple-iphone-11-64-gb-apple-turkiye-garantili-1109951?magaza=cincin," 7.490,00 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,64.0
15,15,https://www.n11.com/urun/apple-iphone-11-64-gb-apple-turkiye-garantili-1109951?magaza=bittibitiyor," 7.559,90 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,64.0
16,16,https://www.n11.com/urun/xiaomi-redmi-note-9-64-gb-xiaomi-turkiye-garantili-1387192?magaza=bittibitiyor," 2.829,00 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 3 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,64.0
17,17,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-1387209?magaza=idealcep," 3.009,00 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,128.0
18,18,https://www.n11.com/urun/samsung-galaxy-a21s-duos-64-gb-samsung-turkiye-garantili-1402396?magaza=alkisiletisim," 2.689,00 ", Samsung, Galaxy A21S, Android, 13 MP, 48 MP, 4 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili, Var, Var,, 75.3 MM, Var, Var, Var, Samsung Exynos 850, Var, Quad-Core 2.0 GHz ARM Cortex-A55,5.0, 1080p (Full HD), 2 GHz, % 82.43,, HD+, USB Type-C, 2.0, 163.7 MM, 8 MP, 8.9 MM,, Var, 2 MP, 192 G, 30 fps, 2 MP,8.0, PLS,,,,,,,,,,64.0
19,19,https://www.n11.com/urun/general-mobile-gm-20-64-gb-general-mobile-turkiye-garantili-1507030?magaza=bittibitiyor," 1.880,00 ", General Mobile, GM 20, Android, 8 MP, 13 MP, 4 GB, 4000 mAh," 6.09""", 720 x 1560, Distribütör Garantili,,,, 73.8 MM,, Var, Var, MediaTek MT6762D (Helio A25), Var, Quad-core 1.8 GHz ARM Cortex-A53,5.0,, 1.8 GHz, % 79.32,, HD+, USB Type-C, 2.0, 154.5 MM, 2 MP, 8.8 MM,, Var, 2 MP, 160 G,,,8.0, IPS LCD,, Var,,, Quad-core 1.5 GHz ARM Cortex-A53,,,,,64.0
20,20,https://www.n11.com/urun/huawei-p40-lite-duos-128-gb-huawei-turkiye-garantili-1341859?magaza=tk-market," 3.078,00 ", Huawei, P40 Lite, Android, 16 MP, 48 MP, 6 GB, 4200 mAh," 6.4""", 1080 x 2310, Distribütör Garantili, Var, Var,, 76.3 MM, Var, Var, Var, Huawei Kirin 810, Var, Dual-core 2.27 GHz ARM Cortex-A76,5.0, 1080p (Full HD), 2.27 GHz, % 83.26, Yok, FHD+, USB Type-C, 2.0, 159.2 MM, 8 MP, 8.7 MM,, Var, 2 MP, 183 G, 30 fps, 2 MP,8.0,,,,,,,,,,,128.0
21,21,https://www.n11.com/urun/apple-iphone-11-64-gb-apple-turkiye-garantili-1109951?magaza=aksarayiletisim," 7.559,90 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,64.0
22,22,https://www.n11.com/urun/xiaomi-redmi-note-8-pro-64-gb6-gb-xiaomi-turkiye-garantili-1128174?magaza=bittibitiyor," 3.130,00 ", Xiaomi, Redmi Note 8 Pro, Android, 20 MP, 64 MP, 6 GB, 4500 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var, Var, 76.4 MM, Var, Var, Var, MediaTek Helio G90T, Var, Dual-Core 2.05 GHz ARM Cortex-A76,5.0, 2160p (Ultra HD) 4K, 2.05 GHz, % 84.1, Yok, FHD+, USB Type-C, 2.0, 161.3 MM, 8 MP, 8.8 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var, IP5X, IPX2,,,,,,64.0
23,23,https://www.n11.com/urun/samsung-galaxy-note-10-lite-128-gb-samsung-turkiye-garantili-1275292?magaza=samsungturkiye," 4.839,00 ", Samsung, Galaxy Note 10 Lite, Android, 32 MP, 12 MP, 6 GB, 4500 mAh," 6.7""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 76.1 MM, Var, Var, Var, Samsung Exynos 9 Series 9810, Var, Quad-core 2.7 GHz Mongoose M3,5.0, 2160p (Ultra HD) 4K, 2.7 GHz, % 86.8, Var, FHD+,, 2.0, 163.7 MM, 12 MP, 8.7 MM, Yok, Var, 12 MP, 199 G, 60 fps,,8.0, Super AMOLED, Yok,,,,,,,,,128.0
24,24,https://www.n11.com/urun/huawei-y9-prime-2019-128-gb-huawei-turkiye-garantili-1035340?magaza=bittibitiyor," 2.749,00 ", Huawei, Y9 Prime, Android, 16 MP, 16 MP, 4 GB, 4000 mAh," 6.59""", 1080 x 2340, Distribütör Garantili, Yok, Var, Yok, 77.3 MM, Yok, Var, Var, Huawei Kirin 710F, Var, Quad-core 2.2 GHz ARM Cortex-A73,4.2, 1080p (Full HD), 2.2 GHz, % 84.35, Yok, FHD+, USB Type-C, 2.0, 163.5 MM, 8 MP, 8.8 MM, Yok, Var, 2 MP, 196.8 G, 30 fps,,8.0, IPS LCD, Yok,,,,,,,,,128.0
25,25,https://www.n11.com/urun/samsung-galaxy-s20-fe-128-gb-samsung-turkiye-garantili-1557583?magaza=samsungturkiye," 6.179,00 ", Samsung, S20 FE, Android, 32 MP, 12 MP, 6 GB, 4500 mAh," 6.5""", 1080 x 2400, Distribütör Garantili, Var,, Var, 74.55 MM, Var, Var, Var, Samsung Exynos 990, Var, Dual-core 2.73 GHz Mongoose M5,5.0, 2160p (Ultra HD) 4K, 2.73 GHz, % 85.52, Var, FHD+, USB Type-C,, 159.8 MM, 12 MP, 8.4 MM, Var, Var, 8 MP, 190 G, 60 fps,,8.0, Super AMOLED,, Var, IP6X, IPX8,,, 3x Optik,,,128.0
26,26,https://www.n11.com/urun/apple-iphone-11-64-gb-apple-turkiye-garantili-1109951?magaza=pereksgrup," 7.490,00 ", Apple, iPhone 11, iOS, 12 MP, 12 MP, 4 GB, 3046 mAh," 6.1""", 828 x 1792, Distribütör Garantili, Var, Yok, Var, 75.7 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.31, Var, HD+, Lightning, 2.0, 150.9 MM, 12 MP, 8.3 MM, Var, Yok,, 194 G, 60 fps,,6.0, IPS LCD, Yok, Var, IP6X, IPX8,,,,,,64.0
27,27,https://www.n11.com/urun/samsung-galaxy-a11-32-gb-samsung-turkiye-garantili-1402323?magaza=alkisiletisim," 2.279,00 ", Samsung, Galaxy A11, Android, 8 MP, 13 MP, 2 GB, 4000 mAh," 6.4""", 720 x 1560, Distribütör Garantili, Var,,, 76.3 MM, Var, Var, Var, Qualcomm Snapdragon 450 (SDM450), Var, Octa-Core 1.8 Ghz ARM Cortex-A53,4.2, 1080p (Full HD), 1.8 GHz, % 81.4,, HD+, USB Type-C, 2.0, 161.4 MM, 5 MP, 8 MM,,, 2 MP, 177 G, 30 fps,,8.0, PLS,,,,,,,,,,32.0
28,28,https://www.n11.com/urun/xiaomi-redmi-note-9s-duos-64-gb-xiaomi-turkiye-garantili-1348266?magaza=bittibitiyor," 3.010,00 ", Xiaomi, Redmi Note 9S, Android, 16 MP, 48 MP, 4 GB, 5020 mAh," 6.67""", 1080 x 2400, Distribütör Garantili, Var, Var,, 76.68 MM,, Var, Var, Qualcomm Snapdragon 720G (SM7125), Var, Dual-core 2.3 GHz ARM Cortex-A76 (Kryo 465),5.0, 2160p (Ultra HD) 4K, 2.3 GHz, % 84.27, Yok, FHD+, USB Type-C, 2.0, 165.75 MM, 8 MP, 8.8 MM,, Var, 5 MP, 209 G, 30 fps, 2 MP,8.0, IPS LCD, Yok, Var,,,,,,,,64.0
29,29,https://www.n11.com/urun/xiaomi-mi-note-10-lite-64-gb-6-gb-ram-xiaomi-turkiye-garantili-1377383?magaza=bittibitiyor," 3.849,00 ", Xiaomi, Mi Note 10 Lite, Android, 16 MP, 64 MP, 6 GB, 5260 mAh," 6.47""", 1080 x 2340, Distribütör Garantili, Var, Var,, 74.2 MM, Var, Var, Yok, Qualcomm Snapdragon 730G (SM7150-AB), Var, Dual-core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 87.25, Yok, FHD+, USB Type-C, 2.0, 157.8 MM, 8 MP, 9.67 MM,, Var, 5 MP, 204 G, 30 fps, 2 MP,8.0, AMOLED, Yok, Var,,,,,,,,64.0
30,30,https://www.n11.com/urun/xiaomi-redmi-note-9-128-gb-xiaomi-turkiye-garantili-1387209?magaza=bittibitiyor," 2.949,90 ", Xiaomi, Redmi Note 9, Android, 13 MP, 48 MP, 4 GB, 5020 mAh," 6.53""", 1080 x 2340, Distribütör Garantili, Var, Var,, 77.2 MM,, Var, Var, MediaTek Helio G85, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, % 83.22,, Full HD, Type-C USB, 2.0, 162.3 MM, 8 MP, 8.9 MM, Var, Var, 2 MP, 199 G, 30 fps, 2 MP,8.0, IPS LCD,, Var,, Sadece Sıçramalara Karşı,,,,,,128.0
31,31,https://www.n11.com/urun/samsung-galaxy-a21s-duos-64-gb-samsung-turkiye-garantili-1402396?magaza=alkisiletisim," 2.689,00 ", Samsung, Galaxy A21S, Android, 13 MP, 48 MP, 4 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili, Var, Var,, 75.3 MM, Var, Var, Var, Samsung Exynos 850, Var, Quad-Core 2.0 GHz ARM Cortex-A55,5.0, 1080p (Full HD), 2 GHz, % 82.43,, HD+, USB Type-C, 2.0, 163.7 MM, 8 MP, 8.9 MM,, Var, 2 MP, 192 G, 30 fps, 2 MP,8.0, PLS,,,,,,,,,,64.0
32,32,https://www.n11.com/urun/samsung-galaxy-a11-32-gb-samsung-turkiye-garantili-1402323?magaza=alkisiletisim," 2.279,00 ", Samsung, Galaxy A11, Android, 8 MP, 13 MP, 2 GB, 4000 mAh," 6.4""", 720 x 1560, Distribütör Garantili, Var,,, 76.3 MM, Var, Var, Var, Qualcomm Snapdragon 450 (SDM450), Var, Octa-Core 1.8 Ghz ARM Cortex-A53,4.2, 1080p (Full HD), 1.8 GHz, % 81.4,, HD+, USB Type-C, 2.0, 161.4 MM, 5 MP, 8 MM,,, 2 MP, 177 G, 30 fps,,8.0, PLS,,,,,,,,,,32.0
33,33,https://www.n11.com/urun/oppo-a72-128-gb-oppo-turkiye-garantili-1436850?magaza=alkisiletisim," 3.028,00 ", Oppo, A72, Android, 16 MP, 48 MP, 4 GB, 4880 mAh," 6.5""", 2400 x 1080, Distribütör Garantili,,,, 75.5 MM, Var, Var,,,,,5.0,,,,,,,, 162 MM, 8 MP, 8.9 MM,,, 2 MP, 192 G,, 2 MP,, TFT LCD,,,,,,,,,,128.0
34,34,https://www.n11.com/urun/oppo-realme-c3i-duos-32-gb-realme-turkiye-garantili-1451350?magaza=alkisiletisim," 2.499,00 ", Oppo, Realme C3i Duos, Android,, 12 MP, 2 GB, 5000 mAh," 6.5""", 720 x 1600, Distribütör Garantili,, Var,, 75 MM,, Var, Var, MediaTek Helio G70, Var, Dual-core 2.0 GHz ARM Cortex-A75,5.0, 1080p (Full HD), 2 GHz, %82.7,, HD+, Micro-USB, 2.0, 164.4 MM, 2 MP, 9 MM,,,, 195 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,32.0
35,35,https://www.n11.com/urun/casper-via-x20-premium-128-gb-casper-turkiye-garantili-1483733?magaza=alkisiletisim," 3.381,00 ", Casper, VIA.X20, Android 10 (Q), 25 MP, 48 MP, 6 GB, 4510 mAh, 163.73, 2340 x 1080, Distribütör Garantili, Var, Var,, 77.1, Yok, Var, 512 GB, MediaTek Helio™ P70, Var, A73 Cortex,4.2, FULL HD, 2.1GHz + 2.0 GHz, 84%,, 1080, Type-C USB,," 6.53""", 8 MP, 8.8 MM,, Var, 2 MP, 190 G, 30, 2 MP,8.0, Ips,, Var,,,,, Var,,,128.0
36,36,https://www.n11.com/urun/oppo-a5s-32-gb3-gb-oppo-turkiye-garantili-1126704?magaza=alkisiletisim," 2.199,00 ", Oppo, A5s, Android, 8 MP, 13 MP, 3 GB, 4230 mAh," 6.2""", 720 x 1520, Distribütör Garantili,, Yok, Yok, 75.4 MM, Yok, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-Core 2.3 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.3 GHz, % 80.86, Yok, HD+, Micro-USB, 2.0, 155.9 MM, 2 MP, 8.2 MM, Yok, Var,, 170 G, 30 fps,,8.0, IPS LCD, Yok,,,,,,,,,32.0
37,37,https://www.n11.com/urun/tcl-10-plus-duos-64-gb-tcl-turkiye-garantili-1518790?magaza=alkisiletisim," 3.500,00 ", Tcl, 10 PLUS, Android, 16 MP, 48 MP, 6 GB, 4500 mAh," 6.47""", 1080 x 2340, Distribütör Garantili, Var, Var,, 72.88 MM, Var, Var, Var, Qualcomm Snapdragon 665 (SM6125), Var, Quad-core 2.0 GHz Kryo 260 (Gold),5.0, 2160p (Ultra HD) 4K, 2.0 GHz, % 89.02,,, USB Type-C, 2.0, 158.9 MM, 8 MP, 8.95 MM,, Var, 2 MP, 172 G, 30 fps, 2 MP,8.0, AMOLED,, Var,,, Quad-Core 1.8 GHz Kryo 260 (Silver),,,,,64.0
38,38,https://www.n11.com/urun/oppo-a31-64-gb-oppo-turkiye-garantili-1400774?magaza=alkisiletisim," 2.539,00 ", Oppo, A31, Android, 8 MP, 12 MP, 4 GB, 4230 mAh," 6.5""", 720 x 1600, Distribütör Garantili,,,, 75.5 MM,, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-core 2.3 GHz ARM Cortex-A53,5.0, 1080p (Full HD), 2.3 GHz, % 81.7,, HD+, Type-C USB, 2.0, 163.9 MM, 2 MP, 8.3 MM,, Var, 2 MP, 180 G, 30 fps,,8.0, IPS LCD,,,,,,,,,,64.0
39,39,https://www.n11.com/urun/apple-iphone-11-pro-max-64-gb-apple-turkiye-garantili-1110149?magaza=bittibitiyor," 12.779,00 ", Apple, iPhone 11 Pro Max, iOS, 12 MP, 12 MP, 4 GB, 3969 mAh," 6.5""", 1242 x 2688, Distribütör Garantili, Var, Yok, Var, 77.8 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 82.69, Var, FHD+, Lightning, 2.0, 158 MM, 12 MP, 8.1 MM, Var, Yok, 12 MP, 226 G, 60 fps,,6.0, OLED, Yok, Var, IP6X, IPX8,,, 2x Optik,,,64.0
