,Unnamed: 0,URL,Price,Marka,Model,İşletim Sistemi,Ön Kamera Çözünürlüğü,Arka Kamera Çözünürlüğü,Bellek Kapasitesi,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Garanti Türü,Hızlı Şarj Özelliği,Çift Hatlı,Toza Dayanıklılık,En,NFC,GPS,Hafıza Kartı Desteği,Yonga Seti (Chipset),4.5G Desteği,İşlemci,Bluetooth Sürüm,Arka Kamera Video Kayıt Çözünürlüğü,CPU Frekansı,Ekran / Gövde Oranı,Optik Görüntü Sabitleyici,Çözünürlük Standardı,USB Bağlantı Tipi,USB Versiyonu,Boy,İkinci Arka Kamera Çözünürlüğü,Kalınlık,Suya Dayanıklılık,Parmak izi Okuyucu,Üçüncü Arka Kamera Çözünürlüğü,Ağırlık,Arka Kamera Video FPS Değeri,Dördüncü Arka Kamera Çözünürlüğü,CPU Çekirdeği,Ekran Tipi,5G Desteği,Yüz Tanıma,Toza Dayanıklılık Seviyesi,Suya Dayanıklılık Seviyesi,1.Yardımcı İşlemci,İkinci Ön Kamera Çözünürlüğü,Kamera Zoom,2.Yardımcı İşlemci,Beşinci Arka Kamera Çözünürlüğü,Dahili_Hafiza
450,450,https://www.n11.com/urun/xiaomi-redmi-8a-32-gb-duos-xiaomi-turkiye-garantili-1129836?magaza=timmy," 2.095,00 ", Xiaomi, Redmi 8A, Android, 8 MP, 12 MP, 2 GB, 5000 mAh," 6.22""", 720 x 1520, Distribütör Garantili, Var, Var, Yok, 75.41 MM, Yok, Var, Var, Qualcomm Snapdragon 439 (SDM439), Var, Quad-Core 1.95 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 1.95 GHz, % 81.07, Yok, HD+, USB Type-C, 2.0, 156.48 MM,, 9.4 MM, Var, Yok,, 188 G, 30 fps,,8.0, IPS LCD, Yok, Var,,,,,,,,32.0
451,451,https://www.n11.com/urun/huawei-y6-2019-32-gb-duos-huawei-turkiye-garantili-928889?magaza=efe-telekom," 2.230,00 ", Huawei, Y6 2019, Android, 8 MP, 13 MP, 2 GB, 3020 mAh," 6.09""", 720 x 1560, Distribütör Garantili, Yok, Var, Yok, 73.5 MM, Yok, Var, Var, MediaTek MT6761 (Helio A22), Var, Quad-Core 2.0 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.0 GHz, % 78.82, Yok, HD+, Micro-USB, 2.0, 156.28 MM,, 8 MM, Yok, Yok,, 150 G, 30 fps,,4.0, IPS LCD, Yok,,,,,,,,,32.0
452,452,https://www.n11.com/urun/samsung-galaxy-s10-lite-128-gb-samsung-turkiye-garantili-1275314?magaza=aksarayiletisim," 5.999,00 ", Samsung, Galaxy S10 Lite, Android, 32 MP, 48 MP, 8 GB, 4500 mAh," 6.7""", 1080 x 2400, Distribütör Garantili, Var, Var, Yok, 75.6 MM, Var, Var, Var, Qualcomm Snapdragon 855 (SM8150), Var, Single-core 2.84 GHz Kryo 485,5.0, 2160p (Ultra HD) 4K, 2.84 GHz, % 88.02, Var, FHD+,, 2.0, 162.5 MM, 12 MP, 8.1 MM, Yok, Var, 5 MP, 186 G, 30 fps,,8.0, Super AMOLED, Yok,,,,,,,,,128.0
453,453,https://www.n11.com/urun/apple-iphone-11-pro-64-gb-apple-turkiye-garantili-1110153?magaza=aksarayiletisim," 11.381,99 ", Apple, iPhone 11 Pro, iOS, 12 MP, 12 MP, 4 GB, 3190 mAh," 5.8""", 1125 x 2436, Distribütör Garantili, Var, Yok, Var, 71.4 MM, Var, Var, Yok, Apple A13 Bionic, Var, Dual-Core 2.65 GHz Lightning,5.0, 2160p (Ultra HD) 4K, 2.65 GHz, % 78.62, Var, FHD+, Lightning, 2.0, 144 MM, 12 MP, 8.1 MM, Var, Yok, 12 MP, 188 G, 60 fps,,6.0, OLED, Yok, Var, IP6X, IPX8,,, 2x Optik,,,64.0
454,454,https://www.n11.com/urun/oppo-a5s-32-gb3-gb-oppo-turkiye-garantili-1126704?magaza=aksarayiletisim," 2.199,00 ", Oppo, A5s, Android, 8 MP, 13 MP, 3 GB, 4230 mAh," 6.2""", 720 x 1520, Distribütör Garantili,, Yok, Yok, 75.4 MM, Yok, Var, Var, MediaTek MT6765 (Helio P35), Var, Quad-Core 2.3 GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.3 GHz, % 80.86, Yok, HD+, Micro-USB, 2.0, 155.9 MM, 2 MP, 8.2 MM, Yok, Var,, 170 G, 30 fps,,8.0, IPS LCD, Yok,,,,,,,,,32.0
455,455,https://www.n11.com/urun/xiaomi-mi-9t-128-gb-duos-xiaomi-turkiye-garantili-1009770?magaza=mobifon," 5.399,90 ", Xiaomi, Mi 9T, Android, 20 MP, 48 MP, 6 GB, 4000 mAh," 6.39""", 1080 x 2340, Distribütör Garantili, Var, Var, Yok, 74.3 MM, Var, Var, Yok, Qualcomm Snapdragon 730 (SM7150-AA), Var, Dual-Core 2.2 Ghz Kryo 470 (Gold),5.0, 2160p (Ultra HD) 4K, 2.2 GHz, % 86.09, Yok, FHD+, USB Type-C, 2.0, 156.7 MM, 13 MP, 8.8 MM, Yok, Var, 8 MP, 191 G, 30 fps,,8.0, AMOLED, Yok,,,,,, 2x Optik,,,128.0
456,456,https://www.n11.com/urun/apple-iphone-8-plus-128-gb-apple-turkiye-garantili-1098051?magaza=onkolelektronik," 6.279,00 ", Apple, iPhone 8 Plus, iOS, 7 MP, 12 MP, 3 GB, 2691 mAh," 5.5""", 1080 x 1920, Distribütör Garantili, Var, Yok, Var, 78.1 MM, Var, Var, Yok, Apple A11 Bionic, Var, Dual-core 2.1 GHz Monsoon,5.0, 2160p (Ultra HD) 4K, 2.1 GHz, % 67.41, Var, FHD, Lightning,, 158.4 MM, 12 MP, 7.5 MM, Var, Var,, 202 G, 60 fps,,6.0, IPS LCD, Yok, Yok, IP6X, IPX7,,, 2x Optik,,,128.0
457,457,https://www.n11.com/urun/samsung-galaxy-a10s-32-gb-samsung-turkiye-garantili-1091967?magaza=selimiletisim," 2.319,00 ", Samsung, Galaxy A10S, Android, 8 MP, 13 MP, 2 GB, 4000 mAh," 6.2""", 720 x 1520, Distribütör Garantili, Yok, Yok, Yok, 78.5 MM, Yok, Var, Var, MediaTek MT6762 (Helio P22), Var, Quad-Core 2.0GHz ARM Cortex-A53,4.2, 1080p (Full HD), 2.0 GHz, % 77.05, Yok, HD+, Micro-USB, 2.0, 156.9 MM, 2 MP, 7.8 MM, Yok, Var,, 168 G, 30 fps,,8.0, PLS, Yok,,,,,,,,,32.0
458,458,https://www.n11.com/urun/honor-8s-duos-3-gb-64-gb-honor-turkiye-garantili-1350443?magaza=tekno-center," 2.833,00 ", Honor, 8S, Android, 5 MP, 13 MP, 3 GB, 3020 mAh," 5.71""", 720 x 1520, Distribütör Garantili, Yok, Var,, 70.78 MM, Yok, Var, Var, MediaTek MT6761 (Helio A22), Var, Quad-Core 2.0GHz ARM Cortex-A53,5.0, 1080p (Full HD), 2 GHz, % 77.62, Yok, HD+, Micro-USB, 2.0, 147.13 MM,, 8.45 MM,,,, 146 G, 30 fps,,4.0, IPS LCD,,,,,,,,,,64.0
459,459,https://www.n11.com/urun/apple-iphone-8-64-gb-apple-turkiye-garantili-409179?magaza=erateknoloji," 6.200,00 ", Apple, iPhone 8, iOS, 7 MP, 12 MP, 2 GB, 1821 mAh," 4.7""", 750 x 1334, Distribütör Garantili, Var, Yok, Var, 67.3 MM, Var, Var, Yok, Apple A11 Bionic, Var, Dual-Core 2.1 GHz Monsoon,5.0, 2160p (Ultra HD) 4K, 2.1 GHz, % 65.36, Var, HD+, Lightning,, 138.4 MM,, 7.3 MM, Var, Var,, 148 G, 60 fps,,6.0, IPS LCD, Yok, Yok, IP6X, IPX7,,,,,,64.0
