Marka,Model,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
 Xiaomi, Mi 10 Lite 5G Duos, Android,128.0,16.0,48.0,6.0,4160.0,4299.0
 Samsung, Galaxy J3 (2016), Android,8.0,5.0,8.0,1.5,2600.0,12999.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2318.0
 Oppo, Reno2 Z, Android,128.0,16.0,48.0,8.0,4000.0,3239.0
 Xiaomi, Redmi Note 9S, Android,128.0,16.0,48.0,6.0,5020.0,3234.0
 Apple, iPhone 7, iOS,32.0,7.0,12.0,2.0,1960.0,3799.0
 Samsung, A71, Android,128.0,32.0,64.0,8.0,4500.0,4049.0
 Xiaomi, Redmi 9 Duos, Android,64.0,8.0,13.0,4.0,5020.0,2530.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2750.0
 Vestel, Venus Go, Android,8.0,5.0,8.0,1.0,2350.0,1099.0
 Samsung, A71, Android,128.0,32.0,64.0,8.0,4500.0,4039.0
 Samsung, A71, Android,128.0,32.0,64.0,8.0,4500.0,4039.0
 Xiaomi, Redmi 9A, Android,32.0,5.0,13.0,2.0,5000.0,2096.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,114199.0
 Apple, iPhone 11, iOS,256.0,12.0,12.0,4.0,3110.0,8829.0
 Xiaomi, Redmi Note 8 Pro, Android,128.0,20.0,64.0,6.0,4500.0,3249.0
 Huawei, Y6S Duos, Android,32.0,8.0,13.0,3.0,3020.0,2019.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7490.0
 Samsung, Note20 Ultra, Android,256.0,10.0,108.0,8.0,4500.0,11749.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8178.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Samsung, Galaxy A31, Android,128.0,20.0,48.0,4.0,5000.0,2949.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,2033.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,1850.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Xiaomi, Redmi 7A, Android,32.0,5.0,12.0,2.0,4000.0,2089.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 General Mobile, GM 20 Pro, Android,128.0,16.0,48.0,6.0,4050.0,2289.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Samsung, Galaxy M31, Android,128.0,32.0,64.0,6.0,6000.0,2999.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Poco, F2 Pro, Android,128.0,20.0,64.0,6.0,4700.0,6799.0
 Samsung, Galaxy A10S, Android,32.0,8.0,13.0,2.0,4000.0,2410.0
 Apple, iPhone SE 2020, iOS,64.0,7.0,12.0,3.0,1821.0,4921.0
 Apple, iPhone XR, iOS,64.0,7.0,12.0,3.0,2942.0,6862.0
 Xiaomi, Redmi Note 9 Pro, Android,128.0,16.0,64.0,6.0,5020.0,3679.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,26.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Samsung, Galaxy S20 Ultra, Android,128.0,40.0,108.0,12.0,5000.0,10579.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,2589.0
 Vestel, Venus Go, Android,8.0,5.0,8.0,1.0,2350.0,1179.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,6.0,5260.0,4099.0
 Xiaomi, Redmi Note 9 Pro, Android,128.0,16.0,64.0,6.0,5020.0,3679.0
 Samsung, Galaxy A01, Android,16.0,5.0,13.0,2.0,3000.0,2.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,2033.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Reno2 Z, Android,128.0,16.0,48.0,8.0,4000.0,3215.0
 Oppo, Reno 4 Lite, Android,128.0,16.0,48.0,8.0,4015.0,3580.0
 Samsung, Galaxy A01, Android,16.0,5.0,13.0,2.0,3000.0,2019.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Xiaomi, Redmi Note 9 Pro, Android,64.0,16.0,64.0,6.0,5020.0,34.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,1625.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Xiaomi, Mi Note 10 Lite, Android,128.0,16.0,64.0,6.0,5260.0,4099.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Xiaomi, Redmi Note 8 Pro, Android,128.0,20.0,64.0,6.0,4500.0,3340.0
 Apple, iPhone 7, iOS,32.0,7.0,12.0,2.0,1960.0,4125.0
 Oppo, A91, Android,128.0,16.0,48.0,8.0,4025.0,3360.0
 Apple, iPhone 11, iOS,256.0,12.0,12.0,4.0,3110.0,8979.0
 C5 Mobile, Noa G1, Android,8.0,2.0,5.0,1.0,2250.0,990.0
 LG, K61, Android,128.0,16.0,48.0,4.0,4000.0,2829.0
 Huawei, P Smart S, Android,128.0,16.0,48.0,4.0,4000.0,2581.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6499.0
 LG, K41S, Android,32.0,8.0,13.0,3.0,4000.0,2599.0
 Apple, iPhone 11 Pro Max, iOS,512.0,12.0,12.0,4.0,3969.0,15575.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,114199.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3114.0
 Oppo, A91, Android,128.0,16.0,48.0,8.0,4025.0,3169.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Apple, iPhone XR, iOS,64.0,7.0,12.0,3.0,2942.0,6557.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2039.0
 Apple, iPhone SE 2020, iOS,128.0,7.0,12.0,3.0,1821.0,5538.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Xiaomi, Redmi 9C, Android,64.0,5.0,13.0,3.0,5000.0,2599.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1873.0
 Samsung, Note20, Android,256.0,10.0,64.0,8.0,4300.0,8959.0
 Vestel, Venus Z40, Android,128.0,8.0,16.0,4.0,3500.0,2669.0
 Huawei, P40 Lite E, Android,64.0,8.0,48.0,4.0,4000.0,25899.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Samsung, Galaxy A30s, Android,64.0,16.0,25.0,4.0,4000.0,2829.0
 Apple, iPhone SE 2020, iOS,128.0,7.0,12.0,3.0,1821.0,5690.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Apple, iPhone 7, iOS,32.0,7.0,12.0,2.0,1960.0,4125.0
 Apple, iPhone 11, iOS,256.0,12.0,12.0,4.0,3110.0,8979.0
 C5 Mobile, Noa G1, Android,8.0,2.0,5.0,1.0,2250.0,990.0
 LG, K61, Android,128.0,16.0,48.0,4.0,4000.0,2829.0
 Huawei, P Smart S, Android,128.0,16.0,48.0,4.0,4000.0,2581.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6499.0
 LG, K41S, Android,32.0,8.0,13.0,3.0,4000.0,2599.0
 Apple, iPhone 11 Pro Max, iOS,512.0,12.0,12.0,4.0,3969.0,15575.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,114199.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,30.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3114.0
 Oppo, A91, Android,128.0,16.0,48.0,8.0,4025.0,3169.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Apple, iPhone XR, iOS,64.0,7.0,12.0,3.0,2942.0,6557.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,2039.0
 Apple, iPhone SE 2020, iOS,128.0,7.0,12.0,3.0,1821.0,5538.0
 Huawei, P40 Lite, Android,128.0,16.0,48.0,6.0,4200.0,3039.0
 Samsung, Galaxy M11, Android,32.0,8.0,13.0,3.0,5000.0,2249.0
 Xiaomi, Redmi 9C, Android,64.0,5.0,13.0,3.0,5000.0,2599.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 General Mobile, GM 20, Android,64.0,8.0,13.0,4.0,4000.0,1873.0
 Samsung, Note20, Android,256.0,10.0,64.0,8.0,4300.0,8959.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,2549.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Oppo, Reno2 Z, Android,128.0,16.0,48.0,8.0,4000.0,3255.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Meizu, M10, Android,32.0,8.0,13.0,3.0,4000.0,1849.0
 Oppo, Reno 4, Android,128.0,32.0,48.0,8.0,4015.0,46.0
 Apple, iPhone 11, iOS,64.0,12.0,12.0,4.0,3046.0,7559.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3069.0
 Reeder, P13 Max Blue, Android,64.0,8.0,13.0,4.0,4680.0,1830.0
